operator_name,full_name,country,operator_type,description
NS,Nederlandse Spoorwegen,NL,national,"State-owned national operator, holds main network concession until 2034. Runs Intercity, Sprinter, and international services."
Arriva,Arriva Netherlands,NL,regional,"Largest regional operator. Runs services in Friesland, Groningen, Drenthe, Gelderland, Limburg, and Overijssel."
Blauwnet,Blauwnet (Keolis),NL,regional,"Regional brand by Keolis. Operates Overijssel lines: Enschede-Almelo, Zwolle-Emmen, Zutphen-Oldenzaal."
Blauwnet A,Blauwnet (Arriva concession),NL,regional,"Blauwnet-branded services operated under Arriva concession in Overijssel."
Blauwnet K,Blauwnet (Keolis concession),NL,regional,"Blauwnet-branded services operated under Keolis concession in Overijssel."
R-net,R-net (multi-operator),NL,regional,"Unified regional brand used by NS, Qbuzz, and others in Randstad area (Zuid-Holland, Utrecht)."
R-net Qb,R-net (Qbuzz),NL,regional,"R-net services operated by Qbuzz, including Merwede-Lingelijn (Dordrecht-Geldermalsen)."
R-net Qbuz,R-net (Qbuzz alt),NL,regional,"Alternate Qbuzz R-net service code."
R-net NS,R-net (NS),NL,regional,"R-net services operated by NS in the Randstad region."
NS Int,NS International,NL,international,"International arm of NS. Operates Intercity Direct, Thalys/Eurostar, and cross-border IC services."
DB,Deutsche Bahn,DE,international,"German national railway. Runs cross-border regional services into the Netherlands (e.g. Arnhem-Dusseldorf)."
Deutsche B,Deutsche Bahn (regional),DE,international,"DB Regio cross-border services including Regionalbahn Westfalen and Euregiobahn to Dutch stations."
Eurobahn,Eurobahn (Keolis DE),DE,cross-border,"German subsidiary of Keolis. Operates Hengelo-Bielefeld and other cross-border services."
NMBS,NMBS/SNCB,BE,international,"Belgian national railway. Runs stopping services Roosendaal-Antwerpen and Maastricht-Liege."
RRReis,RRReis (Arriva),NL,regional,"Regional brand in Gelderland and Overijssel, operated by Arriva."
RRReis A,RRReis (Arriva concession),NL,regional,"RRReis services under Arriva concession."
RRReis K,RRReis (Keolis concession),NL,regional,"RRReis services under Keolis concession."
RRReis Arr,RRReis (Arriva alt),NL,regional,"Alternate Arriva RRReis service code."
VIAS,VIAS Rail,NL,regional,"Regional operator in Limburg, runs Maastricht-Kerkrade and Heerlen-Aachen services."
Breng,Breng (Arriva),NL,regional,"Regional brand in Arnhem-Nijmegen area, operated under Arriva concession."
TCS OV,TCS OV,NL,charter,"Special and charter train services."
TCS,TCS,NL,charter,"Special and charter train services."
Eu Sleeper,European Sleeper,NL/BE,international,"Night train startup (est. 2023). Runs Brussels-Amsterdam-Berlin-Prague and Paris-Berlin overnight services."
GoVolta,GoVolta,NL,international,"Low-cost open-access startup (launched 2026). Amsterdam-Berlin and Amsterdam-Hamburg from EUR 10."
Keolis,Keolis Netherlands,NL,regional,"French-owned operator. Runs Blauwnet services in Overijssel and Valleilijn (Amersfoort-Ede)."
EB,Eurobahn (alt code),DE,cross-border,"Alternate code for Eurobahn cross-border services."
